name|config_section|interactive|platforms|env_vars|conflicts|rollback|verify|docs
api|none|no|all|PORT|none|rm -rf openapi.yaml graphql/schema.graphql api/ mock-server.js|test -f openapi.yaml|https://swagger.io/specification/
auth-oauth2|oauth2|no|all|ADMIN_TOKEN,AUTH0_DOMAIN,BLUE,CREATED_FILES,DOCKER_COMPOSE_FILE,ENABLED,ENV_FILE,FILES_TO_CREATE,GREEN,NC,OAUTH2_ADMIN_PASSWORD,OAUTH2_ADMIN_USER,OAUTH2_CLIENT_ID,OAUTH2_CLIENT_SECRET,OAUTH2_CONFIG_FILE,OAUTH2_ISSUER_URL,OAUTH2_PORT,OAUTH2_PROVIDER,OAUTH2_REALM,OAUTH2_REDIRECT_URIS,OAUTH2_SCOPES,OAUTH2_VERSION,OAUTH2_WEB_ORIGINS,OKTA_DOMAIN,README_FILE,REALM_EXPORT_FILE,REDIRECT_URIS_JSON,SCOPES_JSON,SESSION_SECRET,SKIPPED_FILES,WEB_ORIGINS_JSON,YELLOW|none|rm -rf config/oauth2/ config/oauth2/oauth2-config.json config/oauth2/realm-export.json .env.oauth2 docker-compose.oauth2.yml|test -f config/oauth2/|https://oauth.net/2/
backup-service|backup|yes|all|BACKUP_COMPRESSION,BACKUP_CONFIG_FILE,BACKUP_DIR,BACKUP_ENCRYPTION_KEY,BACKUP_ENV_FILE,BACKUP_FILE,BACKUP_MAX_AGE_HOURS,BACKUP_PROVIDER,BACKUP_RETENTION_DAYS,BACKUP_SCHEDULE,BACKUP_STORAGE,BACKUP_VERIFY,BLUE,CREATED_FILES,DB_BACKUP_SCRIPT,DB_HOST,DB_NAME,DB_PASSWORD,DB_PORT,DB_RESTORE_SCRIPT,DB_TYPE,DB_USER,ENABLED,EXIT_CODE,FILES_TO_CREATE,GENERATED_DATE,GREEN,LOG_FILE,NC,RESTIC_COMPRESSION,RESTIC_REPO,RESTIC_REPOSITORY,RESTIC_SCRIPT,RESTIC_VERIFY,RESTIC_VERIFY_FLAG,RESTORE_DOC,S3_BUCKET,S3_ENDPOINT,S3_REGION,SKIPPED_FILES,TIMESTAMP,VERIFY_SCRIPT,YELLOW|none|rm -rf config/backup/backup.config.json config/backup/restic-backup.sh config/backup/.backup.env config/backup/restore-procedure.md scripts/backup-database.sh scripts/restore-database.sh scripts/verify-backup.sh|test -f config/backup/backup.config.json|https://www.postgresql.org/docs/current/backup.html
buildtools|none|no|all|none|none|rm -rf vite.config.ts webpack.config.js rollup.config.js tsup.config.ts|test -f vite.config.ts|https://docs.npmjs.com/cli/commands
ci-cd|cicd|no|all|ANSWERS_FILE,DETECTED_PLATFORM|none|rm -rf .gitlab-ci.yml Jenkinsfile .circleci/config.yml azure-pipelines.yml bitbucket-pipelines.yml|test -f .gitlab-ci.yml|https://docs.github.com/en/actions
cicd|cicd|no|all|ENABLED,NODE_VERSION|none|rm -rf .github/workflows/ .github/workflows/ci.yml .gitlab-ci.yml azure-pipelines.yml .circleci/config.yml|test -f .github/workflows/|https://docs.github.com/en/actions
claude|none|no|all|AI_MODEL,ANSWERS_FILE,CLAUDE_DIR,CLAUDE_FILE_PATH,ENABLE_CODEX,GITHUB_TOKEN|none|rm -rf .claude/settings.json .claude/agents/code-reviewer.md .claude/agents/debugger.md .claude/commands/analyze.md .claude/hooks/post-write.sh .mcp.json .claudeignore CLAUDE.md|test -f .claude/settings.json|https://docs.anthropic.com/en/api
codex|none|no|all|LIB_DIR,OPENAI_API_KEY,OPENAI_ORGANIZATION|none|rm -rf .codex.json .codexignore|test -f .codex.json|https://platform.openai.com/docs/guides/code
database|database|no|all|BACKUP_DIR,BACKUP_ENABLED,BACKUP_FILE,BACKUP_SCRIPT,CONNECTION_AVAILABLE,CONNECTION_STRING,CREATE_SEED_DATA,DB_HOST,DB_INIT_FILE,DB_NAME,DB_PASSWORD,DB_PORT,DB_TYPE,DB_USER,ENABLED,FILES_TO_CREATE,POOL_SIZE,README_FILE,SEED_FILE,TIMESTAMP,X|none|rm -rf database/db-init.sql database/seed-data.sql database/db-backup.sh database/migrations/ database/README.md|test -f database/db-init.sql|https://www.postgresql.org/docs/current/
detect|none|no|needs-review|ARCH,CLAUDE_DIR,COLOR_GREEN,COLOR_RED,COLOR_RESET,COLOR_YELLOW,CONFIG_FILE,CURL_RESULT,CURRENT_BRANCH,DELETED_COUNT,DETECTION_FILES,DETECT_LATEST,DETECT_OUTPUT,DOCKER_COMPOSE,DOCKER_COMPOSE_RESULT,DOCKERFILE,DOCKER_RESULT,DOCKER_RUNNING,FILE_COUNT,FILES_TO_DELETE,GITIGNORE,GIT_REPO,GIT_RESULT,JQ_RESULT,LOGS_DIR,MAKE_RESULT,MYSQL_RESULT,NEXT_CONFIG,NODE_RESULT,NPM_RESULT,OS_TYPE,PACKAGE_JSON,PIPFILE,PIP_RESULT,PNPM_RESULT,PRISMA,PSQL_RESULT,PYTEST,PYTHON_RESULT,README,RECOMMENDATIONS_FILE,REGISTRY_AVAILABLE,REQUIREMENTS,TIMESTAMP,TSCONFIG,VITE_CONFIG,WSL_STATUS,YARN_RESULT|none|rm -rf __bootbuild/logs/bootstrap-detect-*.json __bootbuild/logs/bootstrap-recommendations.json|test -f __bootbuild/logs/bootstrap-detect-*.json|https://www.gnu.org/software/bash/manual/bash.html
docker-dev|project|no|all|ANSWERS_FILE,DOCKER_DEV_APP_PORT,DOCKER_DEV_COMPOSE_PROJECT_NAME,DOCKER_DEV_DEBUG_PORT,DOCKER_DEV_GROUP_ID,DOCKER_DEV_MOUNT_DOCKER_SOCKET,DOCKER_DEV_MOUNT_SSH_CREDENTIALS,DOCKER_DEV_POSTGRES_DB,DOCKER_DEV_POSTGRES_PASSWORD,DOCKER_DEV_POSTGRES_PORT,DOCKER_DEV_POSTGRES_USER,DOCKER_DEV_REDIS_PORT,DOCKER_DEV_USER_ID,ENV_FILE,ENV_FILE_NAME|docker-prod|rm -rf docker-compose.yml Dockerfile .dockerignore entrypoint.sh .env.docker-dev|test -f docker-compose.yml|https://docs.docker.com/compose/
docker-prod|project|no|all|ANSWERS_FILE,DOCKER_PROD_APP_PORT,DOCKER_PROD_COMPOSE_PROJECT_NAME,DOCKER_PROD_GROUP_ID,DOCKER_PROD_MOUNT_DOCKER_SOCKET,DOCKER_PROD_MOUNT_SSH_CREDENTIALS,DOCKER_PROD_POSTGRES_DB,DOCKER_PROD_POSTGRES_PASSWORD,DOCKER_PROD_POSTGRES_PORT,DOCKER_PROD_POSTGRES_USER,DOCKER_PROD_REDIS_PASSWORD,DOCKER_PROD_REDIS_PORT,DOCKER_PROD_USER_ID,ENV_FILE,ENV_FILE_NAME,SECRETS_DIR|docker-dev|rm -rf docker-compose.yml Dockerfile .dockerignore entrypoint.sh healthcheck.js .env.docker-prod secrets/db_password.txt secrets/redis_password.txt|test -f docker-compose.yml|https://docs.docker.com/compose/
docker-sandbox|project|no|all|ANSWERS_FILE,DOCKER_SANDBOX_APP_PORT,DOCKER_SANDBOX_COMPOSE_PROJECT_NAME,DOCKER_SANDBOX_MOUNT_DOCKER_SOCKET,DOCKER_SANDBOX_MOUNT_SSH_CREDENTIALS,DOCKER_SANDBOX_POSTGRES_DB,DOCKER_SANDBOX_POSTGRES_PASSWORD,DOCKER_SANDBOX_POSTGRES_PORT,DOCKER_SANDBOX_POSTGRES_USER,DOCKER_SANDBOX_REDIS_PORT,ENV_FILE,ENV_FILE_NAME|none|rm -rf docker-compose.yml Dockerfile .dockerignore entrypoint.sh .env.docker-sandbox|test -f docker-compose.yml|https://docs.docker.com/compose/
docker|none|no|all|ANSWERS_FILE,APP_PORT,DATABASE_NAME,DATABASE_PORT,DATABASE_TYPE|none|rm -rf docker-compose.yml Dockerfile .dockerignore .env.local|test -f docker-compose.yml|https://docs.docker.com/compose/
docs|none|no|all|ARCH_FILE,CHANGELOG_FILE,DOCS_DIR,DOC_SITE,DOC_SUBDIRS,DOC_TOOL,GENERATE_API_DOCS,GENERATE_CHANGELOG,HAS_API,HAS_GIT,HAS_JAVASCRIPT,HAS_TYPESCRIPT,SWAGGER_FILE,TYPEDOC_CONFIG,VITEPRESS_CONFIG,VITEPRESS_DIR,VITEPRESS_INDEX|none|rm -rf typedoc.json docs/api/openapi.yaml CHANGELOG.md docs/architecture/ARCHITECTURE.md docs/.vitepress/config.js docs/index.md|test -f typedoc.json|https://jsdoc.app/
editor|none|no|all|none|none|rm -rf .editorconfig .stylelintrc.json|test -f .editorconfig|https://editorconfig.org/
elasticsearch|elasticsearch|no|all|ANALYSIS_FILE,BLUE,CREATED_FILES,DOCKER_COMPOSE_FILE,ENABLED,ENV_FILE,ES_BIND_HOST,ES_CLUSTER_NAME,ES_CONFIG_FILE,ES_DISCOVERY_TYPE,ES_MEMORY,ES_NODE_NAME,ES_PASSWORD,ES_PORT,ES_SECURITY_ENABLED,ES_VERSION,FILES_TO_CREATE,GREEN,NC,SKIPPED_FILES,YELLOW|none|rm -rf infrastructure/elasticsearch/elasticsearch.yml infrastructure/elasticsearch/analysis.yml .env.elasticsearch docker-compose.elasticsearch.yml|test -f infrastructure/elasticsearch/elasticsearch.yml|https://www.elastic.co/guide/en/elasticsearch/reference/current/index.html
email-service|email|no|all|AWS_ACCESS_KEY_ID,AWS_REGION,AWS_SECRET_ACCESS_KEY,BLUE,CREATED_FILES,EMAIL_API_KEY,EMAIL_FROM_ADDRESS,EMAIL_FROM_NAME,EMAIL_PROVIDER,EMAIL_QUEUE_ENABLED,EMAIL_QUEUE_SERVICE,ENABLED,ENV_FILE,FILES_TO_CREATE,GREEN,LAYOUT_TEMPLATE,MAILGUN_DOMAIN,NC,NOTIFICATION_TEMPLATE,PROVIDER_CONFIG,RATE_LIMIT_PER_HOUR,REDIS_HOST,REDIS_PASSWORD,REDIS_PORT,RESET_TEMPLATE,SKIPPED_FILES,SMTP_HOST,SMTP_PASSWORD,SMTP_PORT,SMTP_USER,WELCOME_TEMPLATE,YELLOW|none|rm -rf config/email/email-provider.config.json config/email/templates/welcome.hbs config/email/templates/password-reset.hbs .env.email|test -f config/email/email-provider.config.json|https://nodemailer.com/about/
environment|none|no|all|API_KEY,DATABASE_URL,JWT_SECRET,REDIS_URL,SECRET_KEY,SENTRY_DSN|none|rm -rf .env.example .env.local .env.production env.d.ts|test -f .env.example|https://dotenvx.com/docs
github|none|no|all|GITHUB_DIR|none|rm -rf .github/PULL_REQUEST_TEMPLATE.md .github/ISSUE_TEMPLATE/bug_report.md .github/ISSUE_TEMPLATE/feature_request.md .github/workflows/ci.yml|test -f .github/PULL_REQUEST_TEMPLATE.md|https://docs.github.com/
git|none|no|all|none|none|rm -rf .gitignore .gitattributes .git/|test -f .gitignore|https://git-scm.com/doc
husky|none|no|all|HOOK_FILE,HOOKS,HUSKY_INSTALLED,PACKAGE_MANAGER|none|rm -rf .husky/pre-commit .husky/commit-msg .husky/prepare-commit-msg .husky/post-merge .commitlintrc.json|test -f .husky/pre-commit|https://typicode.github.io/husky/
kubernetes|none|no|all|ANSWERS_FILE,APP_PORT,K8S_DIR,K8S_TEMPLATE_DIR|none|rm -rf kubernetes/base/deployment.yaml kubernetes/base/service.yaml kubernetes/base/ingress.yaml kubernetes/base/kustomization.yaml kubernetes/overlays/dev/kustomization.yaml kubernetes/helm-chart/Chart.yaml kubernetes/helm-chart/values.yaml kubernetes/README.md|test -f kubernetes/base/deployment.yaml|https://kubernetes.io/docs/home/
linting|none|no|all|none|none|rm -rf .eslintrc.json .eslintignore .prettierrc.json .prettierignore|test -f .eslintrc.json|https://eslint.org/docs/latest/
monitoring|monitoring|no|all|APP_PORT,DATADOG_API_KEY,DATADOG_APM_ENABLED,DATADOG_APM_SAMPLE_RATE,DATADOG_APP_KEY,DATADOG_LOGS_ENABLED,DATADOG_NETWORK_ENABLED,DATADOG_PROCESS_ENABLED,DATADOG_SITE,ENABLED,ENABLE_DATADOG,ENABLE_NEWRELIC,ENABLE_PROMETHEUS,ENABLE_SENTRY,ENVIRONMENT,FILES_TO_CREATE,NEWRELIC_APP_LOGGING,NEWRELIC_BROWSER_MONITORING,NEWRELIC_DISTRIBUTED_TRACING,NEWRELIC_ERROR_COLLECTOR,NEWRELIC_LICENSE_KEY,NEWRELIC_LOG_DECORATING,NEWRELIC_LOG_FORWARDING,NEWRELIC_LOG_LEVEL,NEWRELIC_LOG_METRICS,NEWRELIC_SLOW_SQL,NEWRELIC_TRANSACTION_TRACER,PROMETHEUS_EVAL_INTERVAL,PROMETHEUS_SCRAPE_INTERVAL,SENTRY_AUTH_TOKEN,SENTRY_DSN,SENTRY_ORG,SENTRY_PROJECT,SENTRY_TRACES_SAMPLE_RATE,SENTRY_URL,TEAM_NAME,VERSION|none|rm -rf .sentryrc prometheus.yml monitoring/alerts/alerts.yml datadog.yaml newrelic.js .env.monitoring|test -f .sentryrc|https://prometheus.io/docs/
mysql|mysql|no|all|BACKUP_DIR,BACKUP_ENABLED,BACKUP_FILE,BACKUP_SCRIPT,BLUE,CREATED_FILES,DB_HOST,DB_NAME,DB_PASSWORD,DB_PORT,DB_USER,DOCKER_COMPOSE_FILE,ENABLED,ENV_FILE,FILES_TO_CREATE,GREEN,INIT_FILE,MYSQL_ROOT_PASSWORD,MYSQL_VERSION,NC,POOL_SIZE,SKIPPED_FILES,TIMESTAMP,YELLOW|postgres|rm -rf database/mysql/init.sql database/mysql/backup.sh database/backups/ .env.mysql docker-compose.mysql.yml|test -f database/mysql/init.sql|https://dev.mysql.com/doc/
network-vpn|vpn|no|all|ACTIVE_PEERS,BLUE,CREATED_FILES,DNS_SERVER_1,DNS_SERVER_2,DNS_SERVERS,DOCKER_NETWORK_DRIVER,DOCKER_NETWORK_FILE,DOCKER_NETWORK_NAME,DOCKER_NETWORK_SUBNET,ENABLED,ENV_FILE,EUID,FILES_TO_CREATE,FIREWALL_ENABLED,GREEN,IPTABLES_FILE,KEYGEN_SCRIPT,KEYS_DIR,MONITORING_DOC,NC,PEER_COUNT,PEER_IP,PEER_NAME,PEER_PRESHARED_KEY,PEER_PRIVATE_KEY,PEER_PUBLIC_KEY,PEERS_DIR,SERVER_PRIVATE_KEY,SERVER_PUBLIC_KEY,SKIPPED_FILES,VPN_CIDR,VPN_CIDR_BASE,VPN_CONFIG,VPN_CONFIG_FILE,VPN_ENDPOINT,VPN_INTERFACE,VPN_KEEPALIVE,VPN_KEY_BITS,VPN_PORT,VPN_PROTOCOL,VPN_PROVIDER,YELLOW|none|rm -rf config/network/vpn/wireguard-config.conf config/network/vpn/generate-keys.sh config/network/vpn/iptables-rules.conf config/network/vpn/docker-network.yml .env.vpn|test -f config/network/vpn/wireguard-config.conf|https://www.wireguard.com/quickstart/
nodejs|nodejs|no|all|ENABLED,NODE_VERSION|none|rm -rf .nvmrc .npmrc .yarnrc.yml .pnpmfile.cjs|test -f .nvmrc|https://nodejs.org/docs/latest/api/
packages|none|no|all|CURRENT_NODE|none|rm -rf .npmrc .nvmrc .tool-versions .envrc package.json|test -f .npmrc|https://docs.npmjs.com/
